,H0,Q0,H1,Q1,H2,Q2,H3,Q3,H4,Q4,H5,Q5,H6,Q6
0,80.0,6.0,74.3270802249468,6.0,68.6541604498936,6.0,62.98124067484039,6.0,57.308320899787184,6.0,51.635401124733974,6.0,45.96248134968078,6.0
1,80.0,6.0,74.3270802249468,6.0,68.6541604498936,6.000000000000001,62.98124067484039,6.0,57.30832089978716,6.0,51.63540112473399,5.0,0.0,0.0
2,80.0,6.0,74.32708022494678,6.000000000000001,68.6541604498936,6.000000000000001,62.98124067484042,6.000000000000001,76.4913782989683,5.521613634247046,70.81845852391513,4.0,0.0,0.0
3,80.0,6.000000000000001,74.32708022494678,6.000000000000001,68.65416044989361,6.000000000000001,81.7300216564901,5.532443603255218,105.42354550260258,4.800104333936338,100.61917856261215,3.0,0.0,0.0
4,80.0,6.000000000000001,74.32708022494678,6.000000000000001,86.97809743266217,5.543038346960951,110.07541863607729,4.825567156778636,140.2469691297385,3.952868589363031,135.76645464008004,2.0,0.0,0.0
5,80.0,6.000000000000001,92.23541864138183,5.553402528416661,114.74660307929447,4.850548394903056,144.30529936752967,3.992672038170601,178.05329921519618,3.0388287368641382,174.437284983662,0.9999999999999998,0.0,0.0
6,80.0,5.127081476582659,119.43683288095382,4.875054680593146,148.38873198266202,4.0318586661717335,181.5983035321444,3.0909447078592427,218.19638525105205,2.087333049129053,214.75262758445757,0.0,0.0,0.0
7,80.0,3.7981853218089787,135.36295899371282,3.6431408393713705,185.1687447513224,3.1424396284519878,221.34229498847162,2.148663860170143,259.39538481215277,1.1132994049353215,256.56807968402023,0.0,0.0,0.0
8,80.0,2.2103439133364216,145.37331361722283,2.1112166495200198,207.63453313425066,1.788677503145195,262.2854309049569,1.1805005919797549,281.67161124935126,0.6260309283970483,278.7392988487736,0.0,0.0,0.0
9,80.0,0.4634235774182619,152.13871333473767,0.39215211228170366,222.24861277236846,0.17658749357978085,267.742648662759,0.2771308544260012,294.07130965636566,0.38234911032701463,291.3813736519791,0.0,0.0,0.0
10,80.0,-1.4074447446179978,156.86083492189954,-1.4541729993883363,212.2407634271636,-1.1072748882463297,254.04355304393724,-0.6164360761080415,285.1123652357451,-0.15633629669715363,315.6492919657622,0.0,0.0,0.0
11,80.0,-3.379235545185873,140.0425755930136,-2.912568690103305,188.5191030781772,-2.25197563099544,229.51580396123597,-1.5428973032200102,272.45709125247976,-1.0771254809976922,322.0317060870742,0.0,0.0,0.0
12,80.0,-4.4432444927467385,111.15811844409191,-4.201130283591993,156.83679486734405,-3.364718605368287,206.62447607666897,-2.7234160636454865,244.65148101760758,-1.929705149800985,306.4622901208232,0.0,0.0,0.0
13,80.0,-5.047508407671414,96.13071691523372,-4.923094520584913,128.45726706724165,-4.7018939382071565,171.37385523921623,-3.7717332922367586,201.35517327245856,-2.6211573367864998,271.79157827178904,0.0,0.0,0.0
14,80.0,-5.420606573852608,97.03366113693271,-5.572412834195311,109.87901392034394,-5.361193875512348,121.9874057620851,-4.627426969881171,144.83952187427548,-3.165925619732701,222.1174572324143,0.0,0.0,0.0
15,80.0,-6.119223440100421,93.69782567941081,-5.877670234637932,89.80436098476858,-5.514154621717429,81.8697754058126,-4.775651030049559,77.58651309233919,-3.6043072627705897,160.83896080372838,0.0,0.0,0.0
16,80.0,-6.355027257909021,72.21609359698617,-6.072257815326904,64.7635731083362,-5.2918700898751165,44.031341059804326,-4.492156409371278,23.806778524889772,-3.4173034207971553,68.04061023732855,0.0,0.0,0.0
17,80.0,-6.023042091236935,50.09012480010725,-5.767844323368762,25.12783513218922,-5.042871634054563,5.4142474691126665,-3.9218671636910867,-35.620604461156766,-2.585099483216991,-11.404415315513404,0.0,0.0,0.0
18,80.0,-5.152688067237507,32.057141248921795,-4.970004621659296,-10.66852635439784,-4.383382449798023,-56.00126108788036,-3.1196130397270765,-82.83943452059314,-1.7814438289940837,-68.89987340297334,0.0,0.0,0.0
19,80.0,-3.871475992574073,18.663329328076884,-3.7274121458761136,-50.251367632094095,-3.0144666988886892,-100.18604816770625,-2.2265042618190507,-125.76482814742465,-1.4180961080826173,-97.90958925416695,0.0,0.0,0.0
20,80.0,-2.252398956842483,-2.7734768982498252,-1.8661745317161103,-71.55828692920483,-1.5320672674767737,-120.57245765758793,-1.2965116847619453,-144.07927035163118,-1.1513777751158456,-136.77699685606441,0.0,0.0,0.0
21,80.0,0.18434154764098748,-10.436404893297585,-0.01703609778115485,-73.23652109131856,-0.12265556132503523,-115.531998337164,-0.44467653357351217,-154.80190930697904,-0.4495045904818231,-172.43293966453962,0.0,0.0,0.0
22,80.0,2.2382624341270025,9.53546371719017,1.9414499698679566,-54.39455934376915,1.0791895682527517,-107.45123812027634,0.7305306476464662,-152.91370370029125,0.48676997419659085,-192.37789767409066,0.0,0.0,0.0
23,80.0,3.6838798021417682,35.73888259135883,3.3223571760186323,-24.93418431677668,2.7862406293693023,-91.84935910551455,2.0086591737804436,-135.30965705547177,1.4231656435861757,-190.5000464107793,0.0,0.0,0.0
24,80.0,4.382762437604315,45.072749552051526,4.5015637197560485,-2.267714633454588,4.226787447903373,-53.24468267229163,3.461739575200354,-101.21947866857869,2.226475448922699,-167.84114901960936,0.0,0.0,0.0
25,80.0,5.292945394674981,41.8875969550532,5.257723060901334,16.10983114563807,5.144207105979894,-12.654905131569414,4.4156149239873335,-42.08008845091515,3.1362246104347697,-138.48113143315652,0.0,0.0,0.0
26,80.0,6.09953605113938,50.914766808930295,5.908178790716675,30.8585788824995,5.424131612752809,25.964377850340995,4.794462294860008,11.427741367269704,3.7384218459451066,-67.77785342947271,0.0,0.0,0.0
27,80.0,6.496331066707355,68.3577443197704,6.243666368704553,59.83015314130509,5.548673042655496,53.7242733215587,4.738289757744898,73.40990118870735,3.5209349278960143,17.946537875375014,0.0,0.0,0.0
28,80.0,6.3808055413758415,88.01602804230579,6.130583032641344,89.92087493009257,5.552730863788833,105.82665599421757,4.280625679225818,129.067989731328,2.7711425975731228,101.52267370963035,0.0,0.0,0.0
29,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
